driver_number,driver_abbr,team,grid_position,final_position,points,is_dnf,fastest_lap_s,pit_stop_count,event_name,year,round,quali_best_lap_s,gap_to_pole_s,top3,sample_weight
12,ANT,Mercedes,1.0,1.0,25.0,0,92.432,1,Japanese Grand Prix,2026,3,88.778,0.0,1,1.0
81,PIA,McLaren,3.0,2.0,18.0,0,92.996,1,Japanese Grand Prix,2026,3,89.132,0.354,1,1.0
16,LEC,Ferrari,4.0,3.0,15.0,0,92.634,1,Japanese Grand Prix,2026,3,89.303,0.525,1,1.0
63,RUS,Mercedes,2.0,4.0,12.0,0,92.549,1,Japanese Grand Prix,2026,3,89.076,0.298,0,1.0
1,NOR,McLaren,5.0,5.0,10.0,0,93.208,1,Japanese Grand Prix,2026,3,89.409,0.631,0,1.0
44,HAM,Ferrari,6.0,6.0,8.0,0,92.777,1,Japanese Grand Prix,2026,3,89.567,0.789,0,1.0
10,GAS,Alpine,7.0,7.0,6.0,0,93.691,1,Japanese Grand Prix,2026,3,89.691,0.913,0,1.0
3,VER,Red Bull Racing,11.0,8.0,4.0,0,93.552,1,Japanese Grand Prix,2026,3,90.262,1.484,0,1.0
30,LAW,Racing Bulls,14.0,9.0,2.0,0,94.23,1,Japanese Grand Prix,2026,3,90.495,1.717,0,1.0
31,OCO,Haas F1 Team,12.0,10.0,1.0,0,94.256,1,Japanese Grand Prix,2026,3,90.309,1.531,0,1.0
27,HUL,Audi,13.0,11.0,0.0,0,93.732,1,Japanese Grand Prix,2026,3,90.358,1.58,0,1.0
6,HAD,Red Bull Racing,8.0,12.0,0.0,0,93.837,1,Japanese Grand Prix,2026,3,89.978,1.2,0,1.0
5,BOR,Audi,9.0,13.0,0.0,0,94.164,1,Japanese Grand Prix,2026,3,89.99,1.212,0,1.0
41,LIN,Racing Bulls,10.0,14.0,0.0,0,94.314,1,Japanese Grand Prix,2026,3,90.109,1.331,0,1.0
55,SAI,Williams,16.0,15.0,0.0,0,94.514,1,Japanese Grand Prix,2026,3,90.927,2.149,0,1.0
43,COL,Alpine,15.0,16.0,0.0,0,94.512,1,Japanese Grand Prix,2026,3,90.627,1.849,0,1.0
11,PER,Cadillac,19.0,17.0,0.0,0,95.637,1,Japanese Grand Prix,2026,3,92.206,3.428,0,1.0
14,ALO,Aston Martin,21.0,18.0,0.0,0,96.221,2,Japanese Grand Prix,2026,3,92.646,3.868,0,1.0
77,BOT,Cadillac,20.0,19.0,0.0,0,96.269,1,Japanese Grand Prix,2026,3,92.33,3.552,0,1.0
23,ALB,Williams,17.0,20.0,0.0,0,93.427,6,Japanese Grand Prix,2026,3,91.088,2.31,0,1.0
18,STR,Aston Martin,22.0,21.0,0.0,1,97.217,2,Japanese Grand Prix,2026,3,92.92,4.142,0,1.0
87,BEA,Haas F1 Team,18.0,22.0,0.0,1,95.604,1,Japanese Grand Prix,2026,3,91.09,2.312,0,1.0
12,ANT,Mercedes,1.0,1.0,25.0,0,91.968,1,Miami Grand Prix,2026,4,87.798,0.0,1,1.0
1,NOR,McLaren,4.0,2.0,18.0,0,91.869,1,Miami Grand Prix,2026,4,88.183,0.385,1,1.0
81,PIA,McLaren,7.0,3.0,15.0,0,91.949,1,Miami Grand Prix,2026,4,88.332,0.534,1,1.0
63,RUS,Mercedes,5.0,4.0,12.0,0,92.446,1,Miami Grand Prix,2026,4,88.197,0.399,0,1.0
3,VER,Red Bull Racing,2.0,5.0,10.0,0,93.11,1,Miami Grand Prix,2026,4,87.964,0.166,0,1.0
44,HAM,Ferrari,6.0,6.0,8.0,0,92.676,1,Miami Grand Prix,2026,4,88.319,0.521,0,1.0
43,COL,Alpine,8.0,7.0,6.0,0,93.035,1,Miami Grand Prix,2026,4,88.762,0.964,0,1.0
16,LEC,Ferrari,3.0,8.0,4.0,0,92.515,1,Miami Grand Prix,2026,4,88.143,0.345,0,1.0
55,SAI,Williams,13.0,9.0,2.0,0,93.026,1,Miami Grand Prix,2026,4,89.54,1.742,0,1.0
23,ALB,Williams,15.0,10.0,1.0,0,93.784,1,Miami Grand Prix,2026,4,89.72,1.922,0,1.0
87,BEA,Haas F1 Team,12.0,11.0,0.0,0,93.744,1,Miami Grand Prix,2026,4,89.34,1.542,0,1.0
5,BOR,Audi,21.0,12.0,0.0,0,93.5,1,Miami Grand Prix,2026,4,93.737,5.939,0,1.0
31,OCO,Haas F1 Team,14.0,13.0,0.0,0,93.712,1,Miami Grand Prix,2026,4,89.772,1.974,0,1.0
41,LIN,Racing Bulls,16.0,14.0,0.0,0,94.058,1,Miami Grand Prix,2026,4,90.133,2.335,0,1.0
14,ALO,Aston Martin,17.0,15.0,0.0,0,93.512,1,Miami Grand Prix,2026,4,91.098,3.3,0,1.0
11,PER,Cadillac,20.0,16.0,0.0,0,94.895,1,Miami Grand Prix,2026,4,91.967,4.169,0,1.0
18,STR,Aston Martin,18.0,17.0,0.0,0,94.716,2,Miami Grand Prix,2026,4,91.164,3.366,0,1.0
77,BOT,Cadillac,19.0,18.0,0.0,0,96.08,3,Miami Grand Prix,2026,4,91.629,3.831,0,1.0
27,HUL,Audi,10.0,19.0,0.0,1,94.523,1,Miami Grand Prix,2026,4,89.439,1.641,0,1.0
30,LAW,Racing Bulls,11.0,20.0,0.0,1,94.814,0,Miami Grand Prix,2026,4,89.499,1.701,0,1.0
10,GAS,Alpine,9.0,21.0,0.0,1,94.856,0,Miami Grand Prix,2026,4,88.81,1.012,0,1.0
6,HAD,Red Bull Racing,22.0,22.0,0.0,1,94.833,1,Miami Grand Prix,2026,4,88.789,0.991,0,1.0
